"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2023","84.73","84.41","85.44","82.63","","-2.68%"
"04/12/2023","87.06","88.51","90.01","84.36","","1.33%"
"04/11/2023","85.92","85.79","86.53","83.81","","-0.02%"
"04/10/2023","85.94","88.78","88.78","85.45","","1.54%"
"04/06/2023","84.64","87.28","88.36","82.93","","-1.49%"
"04/05/2023","85.92","87.52","88.82","85.85","","1.42%"
"04/04/2023","84.72","84.92","89.49","84.18","","0.77%"
"04/03/2023","84.07","86.09","87.17","83.71","","-3.95%"
"03/31/2023","87.53","85.39","87.53","82.96","","2.57%"
"03/30/2023","85.34","87.31","89.97","85.12","","-2.78%"
"03/29/2023","87.78","88.62","90.01","87.37","","-3.97%"
"03/28/2023","91.41","94.77","96.83","91.39","","-3.85%"
"03/27/2023","95.07","97.23","98.60","94.73","","-4.66%"
"03/24/2023","99.72","108.69","112.39","99.43","","-3.11%"
"03/23/2023","102.92","100.23","109.71","94.36","","0.27%"
"03/22/2023","102.64","100.60","103.10","95.84","","1.43%"
"03/21/2023","101.19","100.57","104.03","98.98","","-8.14%"
"03/20/2023","110.16","125.42","126.00","109.88","","-11.70%"
"03/17/2023","124.75","114.58","126.05","113.38","","12.62%"
"03/16/2023","110.77","123.66","124.74","107.93","","-9.76%"
"03/15/2023","122.75","123.09","137.65","119.64","","17.02%"
"03/14/2023","104.90","100.50","109.98","93.31","","-8.42%"
"03/13/2023","114.54","127.73","128.34","105.83","","5.45%"
"03/10/2023","108.62","91.91","126.77","91.02","","18.01%"
"03/09/2023","92.04","74.56","92.26","73.60","","23.26%"
"03/08/2023","74.67","78.79","78.86","73.70","","-4.93%"
"03/07/2023","78.54","77.36","78.95","75.32","","2.79%"
"03/06/2023","76.41","78.47","78.48","75.89","","0.63%"
"03/03/2023","75.93","76.63","76.99","75.08","","-1.82%"
"03/02/2023","77.34","81.87","82.09","77.04","","-3.99%"
"03/01/2023","80.55","81.32","82.11","79.40","","-0.26%"
"02/28/2023","80.76","82.97","83.00","79.22","","-2.94%"
"02/27/2023","83.21","84.56","85.23","82.31","","-2.40%"
"02/24/2023","85.26","87.87","90.34","84.86","","0.12%"
"02/23/2023","85.16","89.43","90.47","85.07","","-6.66%"
"02/22/2023","91.24","95.66","95.66","90.13","","-4.95%"
"02/21/2023","95.99","93.02","96.90","91.28","","9.12%"
"02/17/2023","87.97","89.97","90.81","87.19","","-0.32%"
"02/16/2023","88.25","88.62","91.71","84.19","","4.06%"
"02/15/2023","84.81","89.59","89.63","82.94","","-4.92%"
"02/14/2023","89.20","93.88","94.48","86.49","","-5.06%"
"02/13/2023","93.95","95.90","96.82","91.88","","-1.76%"
"02/10/2023","95.63","97.80","100.21","94.75","","-2.38%"
"02/09/2023","97.96","92.53","100.53","91.95","","3.30%"
"02/08/2023","94.83","90.85","95.77","89.72","","12.17%"
"02/07/2023","84.54","86.12","87.51","83.25","","-0.66%"
"02/06/2023","85.10","86.53","86.53","83.85","","1.93%"
"02/03/2023","83.49","86.00","86.00","81.37","","-1.74%"
"02/02/2023","84.97","79.17","86.78","77.63","","4.64%"
"02/01/2023","81.20","83.90","86.32","79.54","","-3.22%"
"01/31/2023","83.90","86.34","87.74","83.90","","-2.59%"
"01/30/2023","86.13","86.22","86.35","84.54","","3.38%"
"01/27/2023","83.31","82.95","83.60","80.01","","2.10%"
"01/26/2023","81.60","81.51","83.73","80.15","","1.07%"
"01/25/2023","80.74","81.57","84.70","80.58","","1.73%"
"01/24/2023","79.37","79.27","79.95","77.21","","1.31%"
"01/23/2023","78.34","82.33","82.51","77.88","","-3.32%"
"01/20/2023","81.03","85.35","85.82","80.57","","-4.83%"
"01/19/2023","85.14","87.38","87.94","84.00","","-0.22%"
"01/18/2023","85.33","83.17","86.35","82.91","","2.27%"
"01/17/2023","83.44","83.09","84.03","81.10","","3.15%"
"01/13/2023","80.89","79.55","81.17","78.12","","2.67%"
"01/12/2023","78.79","78.54","79.80","75.98","","-0.19%"
"01/11/2023","78.94","77.21","78.97","76.96","","3.84%"
"01/10/2023","76.02","77.87","77.89","75.71","","-1.62%"
"01/09/2023","77.27","75.87","77.47","74.53","","4.59%"
"01/06/2023","73.88","74.43","75.31","72.27","","-2.74%"
"01/05/2023","75.96","77.66","78.61","75.62","","-0.90%"
"01/04/2023","76.65","79.45","80.10","76.60","","-4.59%"
"01/03/2023","80.34","78.85","82.83","78.41","","4.27%"
"12/30/2022","77.05","78.44","78.56","77.01","","-0.30%"
"12/29/2022","77.28","78.79","78.99","76.85","","-3.28%"
"12/28/2022","79.90","79.25","80.05","77.15","","1.59%"
"12/27/2022","78.65","81.04","81.77","78.45","","-0.24%"
"12/23/2022","78.84","81.11","82.16","77.95","","-3.78%"
"12/22/2022","81.94","78.21","88.26","78.21","","5.54%"
"12/21/2022","77.64","81.40","81.63","77.64","","-6.46%"
"12/20/2022","83.00","87.91","88.44","81.67","","-5.19%"
"12/19/2022","87.54","94.33","94.33","86.91","","-1.81%"
"12/16/2022","89.15","92.19","93.54","89.15","","-3.37%"
"12/15/2022","92.26","89.84","93.59","89.33","","4.43%"
"12/14/2022","88.35","89.82","92.00","88.05","","-0.44%"
"12/13/2022","88.74","85.86","91.63","85.30","","-3.26%"
"12/12/2022","91.73","88.95","92.75","88.81","","5.12%"
"12/09/2022","87.26","83.93","87.26","83.69","","2.78%"
"12/08/2022","84.90","86.84","87.18","84.19","","-2.62%"
